generation biomass (MW),generation fossil brown coal/lignite (MW),generation fossil gas (MW),generation fossil hard coal (MW),generation fossil oil (MW),generation hydro run-of-river and poundage (MW),generation hydro water reservoir (MW),generation nuclear (MW),generation other (MW),generation other renewable (MW),generation solar (MW),generation waste (MW),generation wind onshore (MW),forecast solar day ahead (MW),forecast wind onshore day ahead (MW),total load forecast (MW),total load actual (MW),price day ahead (EUR/MWh),total production (MW),year,month,hour,price for the previous hour (EUR/MWh),day
556.0,28.0,5330.0,4891.0,295.0,637.0,1583.0,5040.0,50.0,67.0,84.0,279.0,2784.0,63.0,2874.0,22307.0,22379.0,56.7,21624.0,2015,9,0,65.66,11
364.0,740.0,7406.0,5937.0,326.0,731.0,3657.0,6993.0,63.0,112.0,1282.0,312.0,981.0,1267.0,1261.0,32568.0,32484.0,76.3,28904.0,2018,9,9,81.41,20
459.0,0.0,3909.0,1096.0,376.0,1794.0,4873.0,7095.0,53.0,94.0,5171.0,144.0,5974.0,5159.0,6079.0,30963.0,30376.0,33.32,31038.0,2016,1,15,49.84,4
418.0,0.0,7525.0,4539.0,327.0,1686.0,8428.0,6984.0,85.0,72.0,294.0,230.0,3231.0,335.0,3241.0,34863.0,34572.0,69.69,33819.0,2015,3,20,83.8,3
490.0,653.0,6487.0,8033.0,366.0,846.0,3263.0,5984.0,84.0,60.0,1138.0,277.0,2743.0,1142.0,2589.0,30837.0,31261.0,63.52,30424.0,2015,6,21,73.15,25
532.0,0.0,4950.0,6012.0,223.0,730.0,3504.0,5038.0,82.0,72.0,95.0,262.0,3612.0,202.0,3700.0,26643.0,26779.0,54.51,25112.0,2015,10,18,61.54,31
313.0,179.0,3499.0,1050.0,298.0,1754.0,6303.0,5087.0,64.0,79.0,4568.0,188.0,3211.0,4563.0,3146.0,26939.0,26637.0,21.69,26593.0,2016,5,16,32.3,16
369.0,891.0,5329.0,6591.0,280.0,694.0,497.0,5061.0,59.0,83.0,40.0,316.0,5806.0,3.0,5884.0,23355.0,23410.0,50.39,26016.0,2016,1,3,18.81,12
364.0,0.0,8234.0,4584.0,321.0,1240.0,2082.0,6038.0,59.0,100.0,19.0,291.0,5610.0,29.0,5178.0,31344.0,31163.0,64.33,28942.0,2018,5,22,46.6,12
385.0,730.0,6189.0,4977.0,348.0,683.0,3027.0,6988.0,61.0,101.0,515.0,322.0,7391.0,462.0,7989.0,34038.0,33930.0,74.39,31717.0,2018,9,21,87.24,25
